date,mean_wind_speed_kph,max_hourly_mean_wind_speed_kph,min_hourly_mean_wind_speed_kph,high_ten_min_mean_wind_speed_kph,wind_direction_at_max_ten_min_mean_deg,highest_gust_speed_kph
2015-01-01,30.52,38.892,18.52,46.25,250,74
2015-01-02,20.54,33.336,11.112,37,260,62.9
2015-01-03,8.33,18.52,3.704,20.35,210,29.6
2015-01-04,12.95,20.372,3.704,25.9,180,40.7
2015-01-05,19.06,24.076,9.26,27.75,180,42.55
2015-01-06,14.06,22.224,9.26,27.75,180,49.95
2015-01-07,29.23,38.892,18.52,42.55,210,79.55
2015-01-08,20.54,44.448,5.556,48.1,210,74
2015-01-09,30.15,38.892,9.26,42.55,230,66.6
2015-01-10,30.9,40.744,22.224,55.5,250,88.8
2015-01-11,28.86,50.004,18.52,55.5,210,85.1
2015-01-12,27.56,48.152,16.668,48.1,210,77.7
2015-01-13,15.17,25.928,9.26,37,210,64.75
2015-01-14,27.75,44.448,9.26,55.5,210,92.5
2015-01-15,31.82,50.004,12.964,55.5,240,90.65
2015-01-16,13.69,18.52,9.26,27.75,260,51.8
2015-01-17,11.1,18.52,5.556,24.05,250,38.85
2015-01-18,11.47,18.52,5.556,20.35,0,35.15
2015-01-19,10.92,16.668,3.704,20.35,120,29.6
2015-01-20,9.81,18.52,3.704,25.9,310,40.7
2015-01-21,9.07,14.816,3.704,18.5,290,27.75
2015-01-22,8.88,12.964,3.704,20.35,180,37
2015-01-23,18.87,29.632,11.112,35.15,270,55.5
2015-01-24,13.69,18.52,7.408,24.05,220,37
2015-01-25,22.2,29.632,12.964,33.3,210,53.65
2015-01-26,14.62,24.076,5.556,27.75,280,40.7
2015-01-27,17.76,24.076,7.408,33.3,220,48.1
2015-01-28,31.64,44.448,22.224,51.8,270,96.2
2015-01-29,27.56,38.892,18.52,49.95,260,81.4
2015-01-30,21.46,31.484,12.964,35.15,300,61.05
2015-01-31,22.01,31.484,14.816,42.55,340,74
2015-02-01,7.58,16.668,1.852,24.05,350,46.25
2015-02-02,3.88,7.408,1.852,9.25,330,12.95
2015-02-03,15.17,25.928,7.408,33.3,0,49.95
2015-02-04,8.14,11.112,3.704,14.8,300,22.2
2015-02-05,8.51,11.112,5.556,14.8,320,22.2
2015-02-06,7.03,11.112,3.704,12.95,10,20.35
2015-02-07,10.54,18.52,3.704,20.35,20,29.6
2015-02-08,5.18,9.26,1.852,12.95,270,18.5
2015-02-09,5.55,7.408,1.852,11.1,250,18.5
2015-02-10,8.14,11.112,3.704,12.95,140,20.35
2015-02-11,8.14,14.816,3.704,18.5,160,24.05
2015-02-12,15.73,24.076,5.556,35.15,150,57.35
2015-02-13,12.77,31.484,3.704,37,160,61.05
2015-02-14,7.77,14.816,1.852,18.5,150,27.75
2015-02-15,15.91,24.076,9.26,25.9,160,46.25
2015-02-16,12.58,22.224,7.408,31.45,300,48.1
2015-02-17,21.83,33.336,11.112,38.85,190,57.35
2015-02-18,31.45,37.04,24.076,44.4,200,72.15
2015-02-19,14.43,24.076,7.408,29.6,260,53.65
2015-02-20,12.39,18.52,5.556,25.9,300,38.85
2015-02-21,14.24,20.372,7.408,38.85,280,66.6
2015-02-22,22.94,37.04,9.26,49.95,250,86.95
2015-02-23,32.38,61.116,14.816,68.45,270,111
2015-02-24,21.09,33.336,9.26,48.1,300,75.85
2015-02-25,19.24,31.484,5.556,33.3,220,51.8
2015-02-26,23.86,33.336,11.112,46.25,280,81.4
2015-02-27,17.02,27.78,11.112,29.6,190,48.1
2015-02-28,27.38,51.856,9.26,55.5,250,83.25
2015-03-01,21.09,38.892,9.26,40.7,260,64.75
2015-03-02,17.21,27.78,7.408,40.7,260,64.75
2015-03-03,19.06,29.632,7.408,40.7,260,68.45
2015-03-04,16.28,22.224,11.112,24.05,220,42.55
2015-03-05,25.34,37.04,18.52,40.7,220,62.9
2015-03-06,36.26,48.152,18.52,51.8,190,83.25
2015-03-07,37.19,42.596,18.52,49.95,210,74
2015-03-08,17.58,27.78,7.408,33.3,280,53.65
2015-03-09,29.23,44.448,11.112,53.65,210,83.25
2015-03-10,13.69,22.224,5.556,25.9,160,40.7
2015-03-11,21.28,37.04,5.556,42.55,190,75.85
2015-03-12,21.28,33.336,7.408,37,120,62.9
2015-03-13,5.37,9.26,1.852,11.1,210,18.5
2015-03-14,11.66,18.52,5.556,20.35,120,31.45
2015-03-15,11.84,24.076,5.556,27.75,110,37
2015-03-16,11.47,16.668,7.408,22.2,120,27.75
2015-03-17,8.88,12.964,5.556,14.8,80,20.35
2015-03-18,5.73,9.26,1.852,11.1,210,16.65
2015-03-19,7.22,11.112,3.704,14.8,200,18.5
2015-03-20,11.66,18.52,7.408,22.2,0,40.7
2015-03-21,7.58,12.964,1.852,18.5,10,25.9
2015-03-22,17.02,33.336,1.852,38.85,220,53.65
2015-03-23,14.62,24.076,5.556,29.6,270,46.25
2015-03-24,14.24,24.076,7.408,29.6,350,53.65
2015-03-25,13.69,25.928,3.704,29.6,150,44.4
2015-03-26,18.13,25.928,5.556,31.45,300,51.8
2015-03-27,11.1,22.224,3.704,25.9,160,40.7
2015-03-28,31.45,37.04,24.076,44.4,270,72.15
